353449991465993_1114509825360002,"👮 小小警察海陸兩棲體驗營👮正式開戰啦！！今年暑假高雄開頂雙層巴士、愛之船、魔幻氣球、防身教學讓你一次滿足
爸比媽咪還在等什麼~趕快來參加抽獎報名囉!👦第三屆小小警察體驗營活動辦法：
☝Step 1：本官網首頁按讚加入【高雄市政府警察局】粉絲專頁
✌Step 2：於此篇貼文：按讚+留言+分享(記得設公開)
💌留言範例:「2017小小警察海陸兩棲，全面開戰！好膽快來～，ＯＯＯ男 5歲 130cm 45kg」
#每則報名留言以一位小朋友為限#人數超過者則不列入抽獎
➡完成Step 1 + Step 2才算報名成功喔！(不符資格者以自動棄權論)一、 活動舉辦日期時間：
2017年7月8日(六)/7月9日(日)，上午8點至12點
及下午14點至18點，共4梯次。
二、 活動限制及名額：
小孩報名年齡以3-8歲為限，每梯次抽出50位，總共有4梯次，200個名額喲!
三、 報名時間：
即日起至6/13(二)下午18點為止，抽獎時間將另行公布。
四、注意事項：
1、本次活動參與梯次安排由主辦單位做統一分配，屆時抽中者將統一寄送Google表單填寫。2、本次活動因配合高雄客運公司「雙層巴士」及「愛之船」乘坐，有人數限制，故抽中之孩童需有一名家長陪同搭乘巴士及船隻，其餘隨行家人請於本局禮堂參與其他活動等候，為求活動品質及安全考量，不接受隨行站位及超載，其餘乘載相關規定，以高雄客運公司及主辦單位現場規範為主。。
3、本次活動孩童乘車、乘船部分由高雄客運免費贊助，另陪同乘車船之家長須酌收費用新台幣150元(原價車船套票新台幣450元)，並於報到時由高雄客運服務人員統一收費。
4、係本次活動為結合戶外踏青、室內表演的全新小小警察體驗營，若您對乘坐交通工具收費有疑慮，請自行考量是否參與本次活動抽獎。參加者於參加本活動之同時，即同意接受本抽獎活動之活動辦法與注意事項之規範；如有違反，主辦單位得取消其參加或中獎資格。
5、本次活動內容豐富，結合戶外活動行程，請家長於活動中須多加注意自身孩童安全。
高雄開頂雙層巴士 Kaohsiung Sightseeing",20170609,6118,3641,4364

353449991465993_1113887952088856,"愛與鐵血2.0(51)連土地公爺爺你也敢拖下水，就GG了...#別讓福德正神不開心
#你的、我的，到底是誰的?YouTube連結在這裡:)
https://youtu.be/XLlv2zMz1Ew",20170607,13068,894,939

353449991465993_1109767909167527,"愛與鐵血2.0(50)你可以趕時間，但不要辱罵警察...因為這樣就會很花時間了!!#東西在車內，不問你要問誰??
#鹽埕分局五福四路派出所YouTube連結在這裡🌵https://youtu.be/ky89qVbdiv4",20170601,16603,1172,1508

353449991465993_1109016892575962,"👮#史上最勇敢的公車司機，竟然要看警察證件才給上車
👉K.C.P.D.與高雄客運合作最大膽企畫，你千萬別錯過！
👮警察優惠5折?免！是完全免費!!！
高雄開頂雙層巴士、愛之船厚你坐免驚，坐到不要不要的！👏六月歡慶警察節優惠活動
波麗士大人 證件拿出來！愛之船・雙層巴士免費搭活動期間自6/6(二)至6/16（五）🚚高雄開頂雙層巴士優惠方式（原價$300）
警察憑服務證免費搭乘
6歲以下孩童免費搭乘🛥愛之船優惠方式（原價$150）
警察憑服務證免費搭乘
2歲以下孩童免費搭乘讓你帶著家人乘坐開頂雙層巴士，享受不同體驗，一飽高雄海港都市美景!除了持證本人免費
同行眷屬可享優惠票價(雙層巴士$250、愛之船$140)
另高雄居民、年長者及身心障礙人士皆有不同優惠此活動內容上未盡之事宜，高雄汽車客運股份有限公司擁有保留修改活動內容之權利。
更多優惠資訊請上官網：http://kaohsiungsightseeing.com.tw/#高雄開頂雙層巴士 Kaohsiung Sightseeing",20170531,999,67,29

353449991465993_1104218969722421,"愛與鐵血2.0(49)七旬老翁的洪荒之力 有時連警察也想像不到！#仁武分局YouTube連結底加📌https://youtu.be/Wa496_A821g",20170524,7874,184,319

353449991465993_1100677533409898,"#愛與鐵血2.0(48)警消團隊，合作無間 !#六龜分局、旗山分局、刑大、保大YouTube連結在這裡👮https://youtu.be/tlSC6pJjzyk",20170519,14569,476,369

353449991465993_1095087770635541,"#愛與鐵血2.0(47)勇警無畏#你的留言分享就是支持警察的力量
#苓雅分局成功所YouTube連結在這裡💪 https://youtu.be/hEi-Aexl_70",20170511,27211,4930,2699

